content,time,score,Location#Transportation,Location#Downtown,Location#Easy_to_find,Service#Queue,Service#Hospitality,Service#Parking,Service#Timely,Price#Level,Price#Cost_effective,Price#Discount,Ambience#Decoration,Ambience#Noise,Ambience#Space,Ambience#Sanitary,Food#Portion,Food#Taste,Food#Appearance,Food#Recommend
快递在路上停了三天,2025-06-19 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
快递给力，箱子压扁了，机器人回复，气死人,2025-03-09 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
分量很足，盒子很好看，家里人都爱吃,2025-10-13 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,正面,未提及,未提及
别买，太甜了，腻死人,2025-07-18 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,负面
漏气了，性价比超高，分量很足,2025-07-20 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及
个头太小了，送礼有面子，不值这个钱,2025-10-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,未提及,负面,未提及,未提及,未提及
态度恶劣，白菜价，性价比极低,2025-09-26 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
满满一大包,2025-09-18 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
肉很多，买到就是赚到，白菜价。,2025-07-30 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
比超市贵多了，满满一大包，别买,2025-04-03 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,负面
太贵了，但是物流太慢了,2025-12-04 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
咸淡适中，味道刚好，态度恶劣，死贵死贵的,2025-05-24 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
肉很多，入口即化，太香了，很划算,2025-07-05 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及
分量对得起价格，太甜了，腻死人。,2024-12-30 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,未提及
箱子压扁了，挺便宜的，发货慢吞吞,2025-05-06 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
根本不值，分量太少了,2025-05-10 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
根本不值，但是缺斤少两。,2025-06-02 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
发货慢吞吞，不过个头很大,2025-10-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
物流很快,2025-04-15 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
性价比超高，但是挺便宜的。,2025-04-16 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
服务热情,2025-06-27 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
